SampleType	NumSample	numItem	accelX	accelY	accelZ	gyroX	gyroY	gyroZ
0	0	0	-0.00	-0.05	-1.00	-0.03	1.15	0.17
0	0	1	0.00	-0.09	-1.00	-0.22	0.03	0.54
0	0	2	0.01	-0.11	-1.00	0.16	-0.97	-0.21
0	0	3	0.00	-0.08	-1.00	-0.15	-0.91	0.11
0	0	4	-0.00	-0.19	-1.00	0.35	-5.97	0.36
0	0	5	0.03	-0.39	-1.00	0.03	-2.47	-0.02
0	0	6	0.03	-0.36	-1.00	0.97	4.71	0.92
0	0	7	0.02	-0.48	-1.00	1.66	8.34	10.17
0	0	8	0.03	-0.38	-1.00	-0.28	4.46	2.67
0	0	9	0.01	-0.23	-1.00	0.78	19.59	0.04
0	0	10	-0.07	-0.16	-1.00	-1.28	29.96	-4.21
0	0	11	-0.01	-0.09	-1.01	-2.84	26.21	-9.58
0	0	12	0.09	-0.01	-1.00	0.47	40.59	-3.64
0	0	13	0.05	0.10	-1.00	0.53	38.40	0.79
0	0	14	0.02	0.31	-1.00	-1.03	37.09	0.42
0	0	15	-0.04	0.36	-1.00	0.78	35.03	-0.21
0	0	16	-0.03	0.26	-1.00	0.16	29.65	-1.33
0	0	17	-0.02	0.29	-1.00	0.10	31.65	0.42
0	0	18	-0.01	0.40	-1.00	-0.03	26.59	-1.52
0	0	19	0.01	0.47	-1.00	-0.59	7.09	-0.39
0	0	20	0.02	0.39	-1.00	-0.15	-3.91	-0.02
0	0	21	-0.02	0.34	-1.00	-0.09	-9.41	0.67
0	0	22	-0.01	0.43	-1.00	-0.22	-12.47	-0.77
0	0	23	0.01	0.54	-1.00	0.28	-11.54	2.79
0	0	24	0.03	0.55	-1.00	0.72	-25.54	4.17
0	0	25	0.03	0.54	-1.00	0.91	-38.04	5.29
0	0	26	0.02	0.48	-1.00	1.35	-56.91	2.61
0	0	27	0.05	0.30	-1.00	0.41	-75.22	-1.33
0	0	28	0.06	0.02	-1.00	-0.53	-73.97	1.92
0	0	29	0.04	-0.21	-1.00	-0.84	-72.85	-4.21
0	0	30	0.05	-0.28	-0.99	-1.84	-57.47	-9.14
0	0	31	0.05	-0.28	-1.00	-0.59	-49.16	2.23
0	0	32	0.08	-0.31	-1.00	-1.15	-42.47	-0.21
0	0	33	0.05	-0.38	-1.00	-1.47	-36.04	1.29
0	0	34	0.03	-0.39	-1.00	0.47	-25.04	-0.46
0	0	35	0.03	-0.34	-1.01	0.85	16.28	-5.64
0	0	36	-0.01	-0.22	-0.98	-0.97	7.78	3.73
0	0	37	0.01	-0.13	-1.01	-0.22	-15.66	2.11
